Job_Id,Position,Company,Job_Description,Opening_Date,Closing_Date,Details,Url,,,,Link
813605,Associate Tech Lead - .Net (1),DCI Recruitment (Pvt) Ltd,As per attachment#DCIrecruitment ,Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=0&ac=0000000354&jc=0000813605&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=0&ac=0000000354&jc=0000813605&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=0&ac=0000000354&jc=0000813605&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,https://topjobs.lk,https://topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000354&jc=0000813605&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp
813604,Quantity Surveyor,Zion Holdings,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0000813604&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0000813604&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0000813604&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0000813604&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813603,ICT Engineer (1),DCI Recruitment (Pvt) Ltd,As per attachment#DCIRecruitment ,Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=2&ac=0000000354&jc=0000813603&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=2&ac=0000000354&jc=0000813603&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=2&ac=0000000354&jc=0000813603&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=2&ac=0000000354&jc=0000813603&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp
813602,Executive - IT Infrastructure (1),Metropolitan Group Of Companies,Please refer the attachment ,Wed Feb 17 2021,Wed Feb 24 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=3&ac=0000000240&jc=0000813602&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=3&ac=0000000240&jc=0000813602&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=3&ac=0000000240&jc=0000813602&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=3&ac=0000000240&jc=0000813602&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp
813601,IT Support Executive,Spring & Summer,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=4&ac=DEFZZZ&jc=0000813601&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=4&ac=DEFZZZ&jc=0000813601&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=4&ac=DEFZZZ&jc=0000813601&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=4&ac=DEFZZZ&jc=0000813601&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813600,Software Engineer (1),DCI Recruitment (Pvt) Ltd,As per attachment#DCIRecruitment ,Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=5&ac=0000000354&jc=0000813600&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=5&ac=0000000354&jc=0000813600&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=5&ac=0000000354&jc=0000813600&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=5&ac=0000000354&jc=0000813600&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp
813599,System Engineer (1),DCI Recruitment (Pvt) Ltd,As per attachment#DCIRecruitment ,Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=6&ac=0000000354&jc=0000813599&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=6&ac=0000000354&jc=0000813599&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=6&ac=0000000354&jc=0000813599&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=6&ac=0000000354&jc=0000813599&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp
813598,Secretary to the CEO,Arthavida Intermediary Limited,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0000813598&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0000813598&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0000813598&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0000813598&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813597,Associate Tech Lead - JAVA (1),DCI Recruitment (Pvt) Ltd,As per attachment#DCIRecruiitment  ,Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=8&ac=0000000354&jc=0000813597&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=8&ac=0000000354&jc=0000813597&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=8&ac=0000000354&jc=0000813597&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=8&ac=0000000354&jc=0000813597&ec=0000000469&pg=applicant/vacancybyfunctionalarea.jsp
813596,Senior Lead Developer / Team Lead - PHP,WrightWay Digital BPO (Pvt) Limited,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0000813596&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0000813596&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0000813596&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0000813596&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
